location,size,total_sqft,bath,price,bhk,price_sqft
Gottigere,3 BHK,1618,3,82.5,3,5098.887515
Gottigere,2 BHK,1222,2,63,2,5155.482815
Gottigere,3 BHK,1300,3,65,3,5000
Gottigere,2 BHK,950,2,38,2,4000
Gottigere,2 BHK,1153,2,48.5,2,4206.41804
Gottigere,1 Bedroom,812,1,26,1,3201.970443
Gottigere,3 BHK,1460,2,65,3,4452.054795
Gottigere,3 BHK,1500,3,70,3,4666.666667
Gottigere,3 BHK,1621,3,72,3,4441.702653
Gottigere,1 Bedroom,812,1,26,1,3201.970443
Gottigere,2 BHK,990,2,40,2,4040.40404
Gottigere,2 BHK,1235,2,63,2,5101.214575
Gottigere,3 BHK,1385,3,64,3,4620.938628
Gottigere,2 BHK,1000,2,35,2,3500
Gottigere,2 BHK,1010,2,35,2,3465.346535
Gottigere,3 BHK,1435,2,62,3,4320.557491
Gottigere,2 BHK,945,2,45,2,4761.904762
Gottigere,4 Bedroom,2500,3,120,4,4800
Gottigere,3 BHK,1230,2,52,3,4227.642276
Gottigere,2 BHK,1120,2,50,2,4464.285714
Gottigere,3 BHK,1500,3,63,3,4200
Gottigere,2 BHK,1200,2,40,2,3333.333333
Gottigere,2 BHK,1280,2,61,2,4765.625
Gottigere,2 BHK,1205,2,56.58,2,4695.435685
Gottigere,2 BHK,1170,2,40,2,3418.803419
Gottigere,4 Bedroom,3000,3,132,4,4400
Gottigere,3 BHK,1613,3,72,3,4463.732176
Gottigere,2 BHK,1110,2,36.25,2,3265.765766
Gottigere,2 BHK,1245,2,59,2,4738.955823
Gottigere,2 BHK,1200,2,50,2,4166.666667
Green Glen Layout,3 BHK,1670,3,120,3,7185.628743
Green Glen Layout,4 BHK,3250,4,230,4,7076.923077
Green Glen Layout,3 BHK,1776.42,3,105,3,5910.764346
Green Glen Layout,4 BHK,3250,4,230,4,7076.923077
Green Glen Layout,2 BHK,940,2,56.8,2,6042.553191
Green Glen Layout,2 BHK,1075,2,60,2,5581.395349
Green Glen Layout,3 BHK,1715,3,115,3,6705.539359
Green Glen Layout,3 BHK,1751,2,115,3,6567.675614
Green Glen Layout,3 BHK,1750,3,130,3,7428.571429
Green Glen Layout,3 BHK,1530,3,105,3,6862.745098
Green Glen Layout,3 BHK,1752,3,105,3,5993.150685
Green Glen Layout,3 BHK,1680,4,95,3,5654.761905
Green Glen Layout,3 BHK,1728,3,125,3,7233.796296
Green Glen Layout,3 BHK,1645,3,110,3,6686.930091
Green Glen Layout,3 BHK,1517,3,100,3,6591.957811
Green Glen Layout,4 BHK,3150,4,218,4,6920.634921
Green Glen Layout,3 BHK,1750,3,120,3,6857.142857
Green Glen Layout,3 BHK,1751,3,115,3,6567.675614
Green Glen Layout,3 BHK,1750,3,105,3,6000
Green Glen Layout,3 BHK,1885,3,135,3,7161.803714
Green Glen Layout,3 BHK,1715,3,120,3,6997.084548
Green Glen Layout,3 BHK,1623.29,2,105,3,6468.345151
Green Glen Layout,3 BHK,1715,3,115,3,6705.539359
Green Glen Layout,3 BHK,1715,3,105,3,6122.44898
Green Glen Layout,3 BHK,1600,3,105,3,6562.5
Green Glen Layout,3 BHK,1717,3,125,3,7280.139779
Green Glen Layout,2 BHK,1250,2,75,2,6000
Green Glen Layout,3 BHK,1715,3,112,3,6530.612245
Gubbalala,3 BHK,1470,2,82,3,5578.231293
Gubbalala,3 BHK,1745,3,104,3,5959.885387
Gubbalala,3 BHK,1745,3,115,3,6590.25788
Gubbalala,3 BHK,1745,3,110,3,6303.724928
Gubbalala,3 BHK,1650,3,71,3,4303.030303
Gubbalala,5 BHK,2570,4,141,5,5486.381323
Gubbalala,2 BHK,1205,2,70,2,5809.128631
Gubbalala,3 BHK,1435,2,80,3,5574.912892
Gubbalala,2 BHK,1475,2,80,2,5423.728814
Gubbalala,2 BHK,1100,2,49.5,2,4500
Gubbalala,2 BHK,1060,2,46,2,4339.622642
Gubbalala,3 BHK,2000,3,125,3,6250
Gunjur,2 BHK,1140,2,43,2,3771.929825
Gunjur,3 BHK,1356,2,66,3,4867.256637
Gunjur,3 BHK,1600,3,75,3,4687.5
Gunjur,4 Bedroom,2000,3,95,4,4750
Gunjur,2 BHK,1140,2,49.11,2,4307.894737
Gunjur,2 BHK,1195,2,44,2,3682.008368
Gunjur,2 BHK,1190,2,40,2,3361.344538
Gunjur,2 BHK,1457,2,60,2,4118.050789
Gunjur,2 BHK,1080,2,41,2,3796.296296
Gunjur,2 BHK,1175,2,43.48,2,3700.425532
Gunjur,3 BHK,1362,3,62.63,3,4598.384728
Gunjur,2 BHK,1071,2,51,2,4761.904762
Gunjur,2 BHK,1063,2,40,2,3762.935089
Gunjur,2 BHK,1235,2,52.76,2,4272.064777
Gunjur,3 BHK,1362,3,62.63,3,4598.384728
Gunjur,3 BHK,1362,3,62.63,3,4598.384728
Gunjur,3 BHK,1588,2,90,3,5667.506297
Gunjur,2 BHK,1235,2,44.5,2,3603.238866
Gunjur,2 BHK,1457,2,60,2,4118.050789
HAL 2nd Stage,3 BHK,1490,2,300,3,20134.22819
HAL 2nd Stage,2 Bedroom,600,3,145,2,24166.66667
HAL 2nd Stage,3 Bedroom,2700,3,500,3,18518.51852
HAL 2nd Stage,5 Bedroom,2040,4,500,5,24509.80392
HBR Layout,3 BHK,2800,2,200,3,7142.857143
HBR Layout,3 BHK,1722,3,95,3,5516.840883
HBR Layout,4 Bedroom,1200,4,120,4,10000
HBR Layout,2 BHK,1200,2,60,2,5000
HBR Layout,2 BHK,1004,2,49,2,4880.478088
HBR Layout,3 BHK,1783,3,125,3,7010.656197
HBR Layout,3 BHK,1656,3,90,3,5434.782609
HBR Layout,2 BHK,1089,2,60,2,5509.641873
HBR Layout,3 BHK,1700,3,110,3,6470.588235
HBR Layout,2 BHK,1198,2,65,2,5425.709516
HBR Layout,4 Bedroom,1200,4,115,4,9583.333333
HBR Layout,2 Bedroom,1200,2,120,2,10000
HBR Layout,3 BHK,1832,3,160,3,8733.624454
HRBR Layout,2 BHK,1374,2,95,2,6914.11936
HRBR Layout,2 BHK,1440,2,98,2,6805.555556
HRBR Layout,3 BHK,2800,3,250,3,8928.571429
HRBR Layout,2 BHK,1210,2,75,2,6198.347107
HRBR Layout,2 BHK,1265,2,78,2,6166.007905
HRBR Layout,2 BHK,1170,2,75,2,6410.25641
HRBR Layout,4 BHK,1900,3,90,4,4736.842105
HRBR Layout,3 BHK,1625,3,120,3,7384.615385
HRBR Layout,2 BHK,1301,2,120,2,9223.674097
HRBR Layout,2 BHK,1145,2,68.5,2,5982.532751
HRBR Layout,2 BHK,1300,2,90,2,6923.076923
HSR Layout,2 BHK,1372,2,68,2,4956.268222
HSR Layout,3 BHK,1475,3,75,3,5084.745763
HSR Layout,2 BHK,1467,2,55,2,3749.147921
HSR Layout,2 BHK,1140,2,46,2,4035.087719
HSR Layout,2 BHK,1372,2,61,2,4446.06414
HSR Layout,3 BHK,1750,3,95,3,5428.571429
HSR Layout,2 BHK,1027,2,44,2,4284.323272
HSR Layout,3 BHK,1650,3,110,3,6666.666667
HSR Layout,2 BHK,1140,2,46,2,4035.087719
HSR Layout,2 BHK,1372,2,61,2,4446.06414
HSR Layout,2 BHK,1140,2,46,2,4035.087719
HSR Layout,2 BHK,1185,2,60,2,5063.291139
HSR Layout,2 BHK,1127,2,68,2,6033.717835
HSR Layout,3 BHK,1600,2,115,3,7187.5
HSR Layout,2 BHK,1145,2,48,2,4192.139738
HSR Layout,2 BHK,1009,2,56,2,5550.049554
HSR Layout,2 BHK,1300,2,98,2,7538.461538
HSR Layout,2 BHK,1140,2,46,2,4035.087719
HSR Layout,2 BHK,1126,2,69,2,6127.886323
HSR Layout,2 BHK,1140,2,46,2,4035.087719
HSR Layout,2 BHK,1145,2,46,2,4017.467249
HSR Layout,2 BHK,1142,2,65,2,5691.768827
HSR Layout,2 BHK,1145,2,46,2,4017.467249
HSR Layout,3 BHK,1844,3,95,3,5151.843818
HSR Layout,2 BHK,1203,2,72,2,5985.037406
HSR Layout,2 BHK,1140,2,46,2,4035.087719
HSR Layout,5 Bedroom,4200,5,245,5,5833.333333
HSR Layout,2 BHK,1140,2,46,2,4035.087719
HSR Layout,2 BHK,1145,2,46,2,4017.467249
HSR Layout,2 BHK,1009,2,56,2,5550.049554
HSR Layout,2 BHK,1145,2,46,2,4017.467249
HSR Layout,2 BHK,1100,2,44,2,4000
HSR Layout,2 BHK,1203,2,60,2,4987.531172
HSR Layout,2 BHK,1120,2,70,2,6250
HSR Layout,2 BHK,1140,2,46,2,4035.087719
HSR Layout,2 BHK,1289,2,70,2,5430.56633
HSR Layout,3 BHK,1844,3,89,3,4826.464208
HSR Layout,2 BHK,1203,2,60,2,4987.531172
HSR Layout,2 BHK,1140,2,46,2,4035.087719
Haralur Road,2 BHK,1240,2,70,2,5645.16129
Haralur Road,2 BHK,1027,2,44,2,4284.323272
Haralur Road,2 BHK,1194,2,47,2,3936.348409
Haralur Road,2 BHK,1202,2,53,2,4409.317804
Haralur Road,2 BHK,1056,2,61,2,5776.515152
Haralur Road,3 BHK,1810,3,100,3,5524.861878
Haralur Road,2 BHK,1194,2,46,2,3852.596315
Haralur Road,2 BHK,1225,2,67.38,2,5500.408163
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,2 BHK,1027,2,44,2,4284.323272
Haralur Road,3 BHK,1920,3,115,3,5989.583333
Haralur Road,3 BHK,1875,3,110,3,5866.666667
Haralur Road,2 BHK,1194,2,47,2,3936.348409
Haralur Road,2 BHK,1140,2,43,2,3771.929825
Haralur Road,2 BHK,1027,2,44,2,4284.323272
Haralur Road,2 BHK,1194,2,46,2,3852.596315
Haralur Road,3 BHK,2017,3,125,3,6197.322757
Haralur Road,2 BHK,1140,2,43,2,3771.929825
Haralur Road,3 BHK,1875,3,110,3,5866.666667
Haralur Road,2 BHK,1092,2,44,2,4029.304029
Haralur Road,3 BHK,2475,4,130,3,5252.525253
Haralur Road,2 BHK,1300,2,73,2,5615.384615
Haralur Road,2 BHK,1194,2,47,2,3936.348409
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,3 BHK,1850,3,110,3,5945.945946
Haralur Road,2 BHK,1225,2,67.38,2,5500.408163
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,4 BHK,3400,5,240,4,7058.823529
Haralur Road,2 BHK,1464,2,56,2,3825.136612
Haralur Road,2 BHK,1230,2,78,2,6341.463415
Haralur Road,2 BHK,1000,2,44,2,4400
Haralur Road,2 BHK,1300,2,79,2,6076.923077
Haralur Road,3 BHK,1444,2,80,3,5540.166205
Haralur Road,2 BHK,1088,2,68,2,6250
Haralur Road,2 BHK,1027,2,44,2,4284.323272
Haralur Road,2 BHK,1225,2,70,2,5714.285714
Haralur Road,2 BHK,1194,2,46,2,3852.596315
Haralur Road,3 BHK,1830,3,101,3,5519.125683
Haralur Road,3 BHK,1810,3,126,3,6961.325967
Haralur Road,2 BHK,1464,2,56,2,3825.136612
Haralur Road,3 BHK,1520,2,96,3,6315.789474
Haralur Road,2 BHK,1300,2,75,2,5769.230769
Haralur Road,3 BHK,2017,2,125,3,6197.322757
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,2 BHK,1027,2,44,2,4284.323272
Haralur Road,4 BHK,2805,5,160,4,5704.099822
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,2 BHK,1027,2,44,2,4284.323272
Haralur Road,3 BHK,2017,3,105,3,5205.751116
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,3 BHK,1520,2,90,3,5921.052632
Haralur Road,2 BHK,1300,2,60,2,4615.384615
Haralur Road,3 BHK,1985,3,130,3,6549.118388
Haralur Road,3 BHK,1255,2,90,3,7171.314741
Haralur Road,2 BHK,1056,2,60,2,5681.818182
Haralur Road,2 BHK,1140,2,42,2,3684.210526
Haralur Road,2 BHK,1245,2,62,2,4979.919679
Haralur Road,2 BHK,1140,2,58,2,5087.719298
Haralur Road,2 BHK,1140,2,42,2,3684.210526
Haralur Road,2 BHK,1027,2,43,2,4186.952288
Haralur Road,2 BHK,1194,2,47,2,3936.348409
Haralur Road,2 BHK,1194,2,47,2,3936.348409
Haralur Road,3 BHK,1560,3,90,3,5769.230769
Haralur Road,3 BHK,1520,2,85,3,5592.105263
Haralur Road,2 BHK,1243,2,45,2,3620.273532
Haralur Road,2 BHK,1027,2,44,2,4284.323272
Haralur Road,2 BHK,1194,2,46,2,3852.596315
Haralur Road,3 BHK,1650,3,100,3,6060.606061
Haralur Road,3 BHK,1580,3,73,3,4620.253165
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,2 BHK,1194,2,47,2,3936.348409
Haralur Road,3 BHK,1520,2,96,3,6315.789474
Haralur Road,3 BHK,1510,3,83.05,3,5500
Haralur Road,2 BHK,1056,2,65,2,6155.30303
Haralur Road,3 BHK,1810,3,100,3,5524.861878
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,1 BHK,575,1,38,1,6608.695652
Haralur Road,2 BHK,1194,2,46,2,3852.596315
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,2 BHK,1194,2,46,2,3852.596315
Haralur Road,2 BHK,1140,2,43,2,3771.929825
Haralur Road,3 BHK,1850,3,120,3,6486.486486
Haralur Road,2 BHK,1194,2,47,2,3936.348409
Haralur Road,2 BHK,1194,2,47,2,3936.348409
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,3 BHK,1710,3,85,3,4970.760234
Haralur Road,3 BHK,1730,3,95,3,5491.32948
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,3 BHK,1817,3,110,3,6053.935058
Haralur Road,2 BHK,1225,2,77,2,6285.714286
Haralur Road,2 BHK,1285,2,78,2,6070.038911
Haralur Road,2 BHK,1225,2,67.48,2,5508.571429
Haralur Road,2 BHK,1225,2,69.84,2,5701.22449
Haralur Road,2 BHK,1200,2,46,2,3833.333333
Haralur Road,2 BHK,1315,2,85,2,6463.878327
Haralur Road,3 BHK,1976,3,92,3,4655.870445
Haralur Road,2 BHK,1300,2,75,2,5769.230769
Haralur Road,2 BHK,1309,2,82,2,6264.323911
Haralur Road,2 BHK,1027,1,44,2,4284.323272
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,2 BHK,1140,2,43,2,3771.929825
Haralur Road,2 BHK,1300,2,75,2,5769.230769
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,3 BHK,1890,3,84,3,4444.444444
Haralur Road,2 BHK,1230,2,67.65,2,5500
Haralur Road,2 BHK,1194,2,46,2,3852.596315
Haralur Road,2 BHK,1092,2,44,2,4029.304029
Haralur Road,3 BHK,1255,3,90,3,7171.314741
Haralur Road,3 BHK,1735,3,97,3,5590.778098
Haralur Road,3 BHK,1810,3,97.83,3,5404.972376
Haralur Road,2 BHK,1200,2,46,2,3833.333333
Haralur Road,2 BHK,1243,2,46,2,3700.724055
Haralur Road,3 BHK,1810,3,112,3,6187.845304
Harlur,2 BHK,1508,2,77,2,5106.100796
Harlur,3 BHK,1752.12,3,135,3,7704.951716
Harlur,3 BHK,1709,3,150,3,8777.06261
Harlur,2 BHK,1174,2,69,2,5877.342419
Harlur,2 BHK,1033,2,49,2,4743.465634
Harlur,2 BHK,1197,2,84,2,7017.54386
Harlur,3 BHK,1757,3,132,3,7512.805919
Harlur,2 BHK,1174,2,76,2,6473.594549
Harlur,3 BHK,1754,3,125,3,7126.567845
Harlur,2 BHK,1290,2,85,2,6589.147287
Harlur,3 BHK,1752.12,3,116,3,6620.551104
Harlur,3 BHK,1754,3,135,3,7696.693273
Harlur,3 BHK,1754,3,124,3,7069.555302
Harlur,2 BHK,1152,2,69,2,5989.583333
Harlur,2 BHK,1290,2,87,2,6744.186047
Harlur,3 BHK,1749,3,115,3,6575.18582
Harlur,4 Bedroom,3385,4,260,4,7680.945347
Harlur,3 BHK,2240,5,155,3,6919.642857
Harlur,3 BHK,1758,3,133,3,7565.415245
Harlur,2 BHK,1197,2,79,2,6599.832916
Harlur,2 BHK,1174,2,78,2,6643.9523
Harlur,2 BHK,1200,2,52,2,4333.333333
Harlur,2 BHK,1197,2,79,2,6599.832916
Harlur,3 BHK,1749,3,112,3,6403.659234
Harlur,2 BHK,1174,2,75,2,6388.415673
Harlur,3 BHK,1750,3,136,3,7771.428571
Harlur,3 BHK,1620,3,110,3,6790.123457
Harlur,3 BHK,1762,3,133,3,7548.240636
Harlur,3 BHK,1756,3,131,3,7460.136674
Harlur,3 BHK,1755,3,130,3,7407.407407
Harlur,3 BHK,1864,3,140,3,7510.729614
Harlur,2 BHK,1331,2,88,2,6611.570248
Harlur,3 BHK,1752.12,3,133,3,7590.804283
Harlur,2 BHK,1133,2,55,2,4854.368932
Harlur,3 BHK,1756,3,128,3,7289.29385
Harlur,3 BHK,1749,3,120,3,6861.063465
Harlur,2 BHK,1197,2,82,2,6850.459482
Harlur,2 BHK,1303,2,90,2,6907.137375
Harlur,3 BHK,1754,3,132,3,7525.655644
Harlur,2 BHK,1174,2,75,2,6388.415673
Harlur,3 BHK,1756,3,134,3,7630.979499
Harlur,2 BHK,1197,2,78,2,6516.290727
Harlur,2 BHK,1290,2,89.9,2,6968.992248
Harlur,2 BHK,1386,2,85,2,6132.756133
Harlur,2 BHK,1174,2,74,2,6303.236797
Harlur,2 BHK,1174,2,78,2,6643.9523
Harlur,3 BHK,1755,3,115,3,6552.706553
Harlur,4 BHK,2569,4,175,4,6811.989101
Harlur,2 BHK,1197,2,77,2,6432.748538
Harlur,3 BHK,1752.12,3,125,3,7134.214552
Harlur,4 BHK,2569,5,180,4,7006.617361
Harlur,2 BHK,1225,2,56,2,4571.428571
Harlur,2 BHK,1197,2,76,2,6349.206349
Harlur,2 BHK,1197,2,75,2,6265.66416
Harlur,3 BHK,1755,3,117,3,6666.666667
Harlur,2 BHK,1197,2,79.9,2,6675.020886
Harlur,2 BHK,936,2,45,2,4807.692308
Harlur,4 BHK,2990,4,225,4,7525.083612
Harlur,2 BHK,1370,2,88,2,6423.357664
Harlur,2 BHK,1335,2,72.76,2,5450.187266
Hebbal,3 BHK,1760,2,123,3,6988.636364
Hebbal,4 BHK,5611.5,4,477,4,8500.400962
Hebbal,2 BHK,1349,2,98.2,2,7279.466271
Hebbal,4 BHK,2483,5,212,4,8538.0588
Hebbal,3 BHK,1760,2,130,3,7386.363636
Hebbal,3 BHK,3450,5,260,3,7536.231884
Hebbal,3 BHK,1920,3,134,3,6979.166667
Hebbal,2 BHK,1337,2,82,2,6133.133882
Hebbal,2 BHK,1349,2,98,2,7264.640474
Hebbal,3 BHK,1790,3,127,3,7094.972067
Hebbal,2 BHK,687.325,2,42.72,2,6215.400284
Hebbal,3 BHK,1985,4,189,3,9521.410579
Hebbal,4 BHK,2483,5,215,4,8658.880387
Hebbal,2 BHK,1080,2,54,2,5000
Hebbal,2 BHK,812,2,55,2,6773.399015
Hebbal,4 BHK,3067,4,230,4,7499.184871
Hebbal,3 BHK,2526,2,250,3,9897.070467
Hebbal,4 BHK,3067,4,230,4,7499.184871
Hebbal,2 BHK,823,2,50.63,2,6151.883354
Hebbal,2 BHK,1420,2,123,2,8661.971831
Hebbal,2 BHK,1420,2,99.39,2,6999.295775
Hebbal,4 BHK,4235,4,365,4,8618.654073
Hebbal,3 BHK,1700,3,124,3,7294.117647
Hebbal,4 BHK,3960,5,386,4,9747.474747
Hebbal,2 BHK,1420,2,99.39,2,6999.295775
Hebbal,2 BHK,1440,2,115,2,7986.111111
Hebbal,2 BHK,1100,2,54,2,4909.090909
Hebbal,3 BHK,2400,4,180,3,7500
Hebbal,2 BHK,1420,2,107,2,7535.211268
Hebbal,2 BHK,1320,2,92,2,6969.69697
Hebbal,2 BHK,919,2,49,2,5331.882481
Hebbal,3 BHK,1645,3,135,3,8206.68693
Hebbal,3 BHK,2080,3,175,3,8413.461538
Hebbal,4 BHK,2483,5,230,4,9262.988321
Hebbal,3 BHK,2600,3,195,3,7500
Hebbal,3 BHK,1645,3,117,3,7112.462006
Hebbal,2 BHK,1251,2,88.73,2,7092.725819
Hebbal,3 BHK,1645,3,121,3,7355.6231
Hebbal,3 BHK,1760,3,123,3,6988.636364
Hebbal,4 BHK,3960,5,386,4,9747.474747
Hebbal,3 BHK,1645,3,120,3,7294.832827
Hebbal,3 BHK,1255,2,90,3,7171.314741
Hebbal,3 BHK,1645,3,117,3,7112.462006
Hebbal,3 BHK,1636,3,119,3,7273.838631
Hebbal,3 BHK,2661,2,226.5,3,8511.837655
Hebbal,3 BHK,1255,2,95,3,7569.721116
Hebbal,3 BHK,1255,2,95,3,7569.721116
Hebbal,2 BHK,1088,2,61.45,2,5647.977941
Hebbal,2 BHK,1349,2,97.8,2,7249.814678
Hebbal,2 BHK,1344,2,108,2,8035.714286
Hebbal,3 BHK,1255,2,90,3,7171.314741
Hebbal,2 BHK,1138,2,110,2,9666.080844
Hebbal,4 BHK,2790,5,204,4,7311.827957
Hebbal,2 BHK,1088,2,62,2,5698.529412
Hebbal,3 BHK,1987,4,165,3,8303.975843
Hebbal,2 BHK,1299,2,100,2,7698.229407
Hebbal,2 BHK,1200,2,60,2,5000
Hebbal,3 BHK,1645,3,117,3,7112.462006
Hebbal,2 BHK,1390,2,95,2,6834.532374
Hebbal,2 BHK,1333,2,100,2,7501.875469
Hebbal,3 BHK,2650,4,199,3,7509.433962
Hebbal,3 BHK,1800,3,140,3,7777.777778
Hebbal,4 BHK,2470,4,203,4,8218.623482
Hebbal,3 BHK,1255,2,95,3,7569.721116
Hebbal,2 BHK,1333,2,104,2,7801.950488
Hebbal,3 BHK,1645,3,117,3,7112.462006
Hebbal,3 BHK,2600,3,199,3,7653.846154
Hebbal,2 BHK,1345,2,97,2,7211.895911
Hebbal,2 BHK,985,2,62,2,6294.416244
Hebbal,2 BHK,1320,2,91,2,6893.939394
Hebbal,3 BHK,2388,3,195,3,8165.829146
Hebbal,2 BHK,1040,2,55,2,5288.461538
Hebbal,3 BHK,2600,3,195,3,7500
Hebbal,4 BHK,2630,5,188,4,7148.288973
Hebbal,3 BHK,1645,3,113,3,6869.300912
Hebbal,2 BHK,1420,2,99.39,2,6999.295775
Hebbal,3 BHK,3520,5,320,3,9090.909091
Hebbal,2 BHK,1162,2,69,2,5938.037866
Hebbal,2 BHK,1100,2,60,2,5454.545455
Hebbal,4 BHK,4235,5,364,4,8595.041322
Hebbal,2 BHK,1299,2,97,2,7467.282525
Hebbal,4 BHK,2470,5,192,4,7773.279352
Hebbal,3 BHK,1645,3,117,3,7112.462006
Hebbal,3 BHK,1920,3,134,3,6979.166667
Hebbal,3 BHK,3520,5,240,3,6818.181818
Hebbal,3 BHK,1920,3,150,3,7812.5
Hebbal,4 BHK,2375,4,189,4,7957.894737
Hebbal,2 BHK,1420,2,99.26,2,6990.140845
Hebbal,2 BHK,1252,2,92,2,7348.242812
Hebbal,2 BHK,1162,2,59,2,5077.452668
Hebbal,2 BHK,1294,2,115,2,8887.171561
Hebbal,4 BHK,4225,6,359,4,8497.04142
Hebbal,2 BHK,1150,2,57,2,4956.521739
Hebbal,3 BHK,1740,2,137,3,7873.563218
Hebbal,3 BHK,1662,3,155,3,9326.113117
Hebbal,3 BHK,2250,3,219,3,9733.333333
Hebbal,2 BHK,1349,2,98,2,7264.640474
Hebbal,4 BHK,4000,6,370,4,9250
Hebbal,2 BHK,1349,2,96.8,2,7175.685693
Hebbal Kempapura,3 BHK,1700,3,155,3,9117.647059
Hebbal Kempapura,3 BHK,1800,3,175,3,9722.222222
Hebbal Kempapura,3 BHK,2900,4,300,3,10344.82759
Hebbal Kempapura,3 BHK,3522,3,380,3,10789.32425
Hebbal Kempapura,5 Bedroom,2280,5,200,5,8771.929825
Hebbal Kempapura,2 Bedroom,1200,2,125,2,10416.66667
Hebbal Kempapura,3 BHK,2900,4,240,3,8275.862069
Hebbal Kempapura,2 BHK,1300,2,102,2,7846.153846
Hebbal Kempapura,3 BHK,1466,2,140,3,9549.795362
Hebbal Kempapura,3 BHK,1725,2,165,3,9565.217391
Hebbal Kempapura,3 Bedroom,1200,3,125,3,10416.66667
Hebbal Kempapura,3 BHK,3408,3,260,3,7629.107981
Hebbal Kempapura,2 BHK,1485,3,132,2,8888.888889
Hebbal Kempapura,2 BHK,1400,2,108,2,7714.285714
Hebbal Kempapura,3 BHK,1800,3,150,3,8333.333333
Hebbal Kempapura,5 Bedroom,2400,5,200,5,8333.333333
Hebbal Kempapura,5 Bedroom,2800,5,220,5,7857.142857
Hebbal Kempapura,3 BHK,1785,3,165,3,9243.697479
Hebbal Kempapura,4 BHK,3729,4,384,4,10297.66693
Hebbal Kempapura,3 BHK,1600,3,170,3,10625
Hebbal Kempapura,3 BHK,1730,3,175,3,10115.60694
Hegde Nagar,3 BHK,1569,3,101,3,6437.22116
Hegde Nagar,6 Bedroom,3000,7,210,6,7000
Hegde Nagar,3 BHK,2026,3,132,3,6515.301086
Hegde Nagar,3 BHK,1801,3,115,3,6385.341477
Hegde Nagar,2 Bedroom,1050,1,56,2,5333.333333
Hegde Nagar,2 BHK,1341,2,97,2,7233.407905
Hegde Nagar,3 BHK,2112.95,4,145,3,6862.443503
Hegde Nagar,4 Bedroom,1200,4,83,4,6916.666667
Hegde Nagar,3 BHK,1703,3,113,3,6635.349383
Hegde Nagar,3 BHK,1570,3,105,3,6687.898089
Hegde Nagar,3 BHK,1801,3,140,3,7773.459189
Hegde Nagar,3 BHK,1584.01,3,103,3,6502.484201
Hegde Nagar,3 BHK,1965,4,125,3,6361.323155
Hegde Nagar,2 Bedroom,1200,2,75,2,6250
Hegde Nagar,3 BHK,1847,3,135,3,7309.149973
Hegde Nagar,3 BHK,1965,4,132,3,6717.557252
Hegde Nagar,3 BHK,1703,3,125,3,7339.988256
Hegde Nagar,3 BHK,1847,3,125,3,6767.731456
Hegde Nagar,3 BHK,2144.6,4,145,3,6761.167584
Hegde Nagar,3 BHK,1718,3,119,3,6926.658906
Hegde Nagar,3 BHK,1847,3,123,3,6659.447753
Hegde Nagar,2 BHK,1340,2,72,2,5373.134328
Hegde Nagar,3 BHK,2087.01,3,115,3,5510.275466
Hegde Nagar,3 BHK,1703,3,130,3,7633.587786
Hegde Nagar,3 BHK,2087.01,4,135,3,6468.584243
Hegde Nagar,3 BHK,1718,3,130,3,7566.9383
Hegde Nagar,3 BHK,1884,4,118,3,6263.269639
Hegde Nagar,3 BHK,1930,4,122,3,6321.243523
Hegde Nagar,3 BHK,1584.01,3,104,3,6565.615116
Hegde Nagar,3 BHK,1168,2,68,3,5821.917808
Hegde Nagar,3 BHK,2162.03,4,129,3,5966.614709
Hegde Nagar,3 BHK,2087.01,4,160,3,7666.470213
Hegde Nagar,2 Bedroom,1000,2,66,2,6600
Hegde Nagar,3 BHK,1348,2,80.5,3,5971.810089
Hennur,2 BHK,1075,2,52,2,4837.209302
Hennur,2 BHK,1255,2,52.32,2,4168.924303
Hennur,2 BHK,1225,2,57,2,4653.061224
Hennur,2 BHK,1255,2,57.5,2,4581.673307
Hennur,2 BHK,1259,2,57,2,4527.402701
Hennur,2 BHK,1255,2,53.5,2,4262.948207
Hennur,2 BHK,1285,2,60,2,4669.2607
Hennur,2 BHK,1285,2,60,2,4669.2607
Hennur,2 BHK,1100,2,60,2,5454.545455
Hennur,2 BHK,1231,2,48,2,3899.268887
Hennur,2 BHK,1255,2,58,2,4621.513944
Hennur,2 BHK,1040,2,42.12,2,4050
